Coefficient of Variation for Change: (sorted for estimates of high and medium precision combined): Percent Total by Variable

+------------+-----------------+---------+
|  variable  | change_cv_count | percent |
| b01001_007 |       1413      |   4.0   |
| b15002_035 |       472       |   4.0   |
| b08006_004 |       1104      |   3.8   |
| b05002_005 |       854       |   3.8   |
| b19001_002 |       1825      |   3.8   |
| b08006_009 |       373       |   3.8   |
| b03002_015 |       114       |   3.7   |
| b19001_013 |       2159      |   3.7   |
| b05002_006 |       900       |   3.5   |
| b13002_014 |       872       |   3.5   |
| b15002_011 |       1920      |   3.4   |
| b01001_047 |       1458      |   3.4   |
| b15002_034 |       532       |   3.4   |
| b25063_005 |       171       |   3.4   |
| b19001_003 |       1404      |   3.3   |
| c24030_017 |       1501      |   3.3   |
| b07204_010 |       717       |   3.2   |
| b01001_037 |       1689      |   3.2   |
| b08006_005 |       857       |   3.2   |
| b01001_013 |       1662      |   3.2   |
| b01001_038 |       1740      |   3.2   |
| b01001_014 |       1646      |   3.1   |
| b25063_003 |        68       |   3.1   |
| b15002_028 |       1798      |   3.1   |
| c24030_006 |       1366      |   3.0   |
| b15002_031 |       1507      |   3.0   |
| b08006_015 |       526       |   3.0   |
| b05002_012 |       412       |   2.9   |
| b03002_017 |        11       |   2.9   |
| c24030_044 |       1221      |   2.9   |
| b19001_004 |       1242      |   2.8   |
| b03002_016 |        32       |   2.8   |
| b07204_019 |       198       |   2.7   |
| b07204_016 |       210       |   2.7   |
| b01001_044 |       1003      |   2.7   |
| b15002_023 |       571       |   2.7   |
| b07204_008 |       621       |   2.7   |
| b25063_006 |       225       |   2.7   |
| c24030_010 |       1050      |   2.7   |
| c17002_003 |       1405      |   2.6   |
| b15002_005 |       316       |   2.6   |
| b03002_020 |       203       |   2.6   |
| b15002_006 |       496       |   2.5   |
| b01001_017 |       1333      |   2.5   |
| b01001_029 |       1280      |   2.5   |
| b25070_003 |       702       |   2.5   |
| c17002_002 |       1248      |   2.5   |
| b07204_011 |       466       |   2.5   |
| c24030_033 |       220       |   2.5   |
| b15002_003 |       320       |   2.4   |
| b15002_014 |       1085      |   2.4   |
| b11001_009 |       1036      |   2.4   |
| c24030_037 |       419       |   2.4   |
| b15002_022 |       303       |   2.4   |
| b15002_004 |       183       |   2.4   |
| b01001_041 |       1319      |   2.4   |
| b11001_004 |       1309      |   2.4   |
| b13002_019 |       513       |   2.3   |
| b15002_020 |       331       |   2.3   |
| b01001_043 |       1055      |   2.3   |
| b01001_005 |       1196      |   2.3   |
| b25070_002 |       358       |   2.3   |
| b01001_020 |       768       |   2.2   |
| b01001_019 |       928       |   2.2   |
| b01001_004 |       1096      |   2.2   |
| b01001_028 |       1101      |   2.2   |
| b02001_009 |       197       |   2.2   |
| b25063_009 |       172       |   2.1   |
| b05002_011 |        26       |   2.1   |
| b25070_004 |       694       |   2.1   |
| b25070_010 |       886       |   2.1   |
| b07204_012 |       107       |   2.1   |
| c24030_007 |       958       |   2.1   |
| b08006_014 |        99       |   2.1   |
| b11001_006 |       1036      |   2.1   |
| b14001_003 |       451       |   2.1   |
| b19001_005 |       851       |   2.0   |
| c24030_021 |       876       |   2.0   |
| b01001_034 |       743       |   1.9   |
| c24030_014 |       546       |   1.9   |
| b14001_004 |       416       |   1.9   |
| b15002_025 |       392       |   1.9   |
| b25063_004 |        37       |   1.9   |
| b13002_007 |       183       |   1.8   |
| b15002_021 |       142       |   1.8   |
| c24030_003 |       339       |   1.8   |
| b19001_006 |       733       |   1.8   |
| b15002_018 |       242       |   1.8   |
| b15002_030 |       963       |   1.8   |
| c24030_051 |       768       |   1.8   |
| b01001_025 |       368       |   1.8   |
| b25070_011 |       512       |   1.8   |
| b25063_024 |       392       |   1.7   |
| b25063_007 |       122       |   1.7   |
| b15002_017 |       305       |   1.7   |
| b01001_010 |       648       |   1.7   |
| b15002_013 |       883       |   1.7   |
| b03002_010 |        30       |   1.7   |
| b13002_006 |        94       |   1.7   |
| b15002_009 |       332       |   1.6   |
| b13002_010 |        24       |   1.6   |
| b15002_008 |       302       |   1.6   |
| b01001_042 |       600       |   1.6   |
| b25070_005 |       495       |   1.6   |
| c24030_024 |       601       |   1.6   |
| b19001_012 |       851       |   1.6   |
| b13002_002 |       320       |   1.6   |
| b15002_026 |       351       |   1.6   |
| b15002_024 |       253       |   1.6   |
| b15002_007 |       232       |   1.5   |
| b01001_018 |       568       |   1.5   |
| b07204_015 |       104       |   1.5   |
| b14001_009 |       250       |   1.5   |
| c24030_034 |       413       |   1.4   |
| b01001_024 |       376       |   1.4   |
| c17002_005 |       569       |   1.3   |
| b07204_014 |       126       |   1.3   |
| c24030_009 |       550       |   1.3   |
| b13002_009 |       112       |   1.3   |
| b08006_007 |       132       |   1.3   |
| b01001_048 |       382       |   1.3   |
| b19001_011 |       631       |   1.3   |
| b01001_009 |       232       |   1.3   |
| c24030_030 |        64       |   1.2   |
| b01001_008 |       215       |   1.2   |
| b25070_006 |       326       |   1.2   |
| b11001_005 |       438       |   1.2   |
| b01001_049 |       312       |   1.2   |
| b25063_008 |        86       |   1.2   |
| b15002_012 |       508       |   1.2   |
| c24030_013 |       166       |   1.2   |
| b13002_003 |       168       |   1.1   |
| c24030_036 |       512       |   1.1   |
| b19001_009 |       433       |   1.1   |
| b19001_008 |       402       |   1.1   |
| b19001_007 |       444       |   1.1   |
| b08006_006 |       156       |   1.1   |
| b01001_032 |       183       |   1.1   |
| c24030_040 |       123       |   1.1   |
| b07204_018 |        1        |   1.1   |
| b15002_029 |       486       |   1.1   |
| b15002_027 |       193       |   1.1   |
| b15002_010 |       200       |   1.1   |
| c24030_041 |       352       |   1.1   |
| c17002_006 |       531       |   1.1   |
| b07204_013 |        78       |   1.1   |
| b01001_033 |       168       |   1.0   |
| c17002_004 |       385       |   1.0   |
| b13002_005 |       132       |   1.0   |
| b25070_007 |       211       |   0.9   |
| b13002_013 |        9        |   0.8   |
| b19001_010 |       296       |   0.8   |
| c24030_054 |       236       |   0.8   |
| c24030_028 |       198       |   0.7   |
| c24030_035 |        61       |   0.6   |
| b25070_009 |       160       |   0.6   |
| c24030_055 |       166       |   0.6   |
| c24030_027 |       136       |   0.5   |
| c24030_008 |       118       |   0.5   |
| c17002_007 |       166       |   0.5   |
| b25070_008 |       109       |   0.5   |
+------------+-----------------+---------+

The following variables represent the same values:
b01001_001: b02001_001, b03002_001, b05002_001
b11001_001: b19001_001
b23025_003: c24030_001
b25002_002: b25003_001
b25003_003: b25063_001, b25070_001
