Coefficient of Variation for Change: Percent Total by Variable

+------------+-----------+-----------------+---------+
|  variable  | change_cv | change_cv_count | percent |
| b15002_019 |    high   |       3935      |   5.1   |
| b15002_020 |    low    |      13769      |   97.7  |
| b15002_020 |   medium  |       302       |   2.1   |
| b15002_020 |    high   |        29       |   0.2   |
| b15002_021 |    low    |       7585      |   98.2  |
| b15002_021 |   medium  |       134       |   1.7   |
| b15002_021 |    high   |        8        |   0.1   |
| b15002_022 |    low    |      12266      |   97.6  |
| b15002_022 |   medium  |       286       |   2.3   |
| b15002_022 |    high   |        17       |   0.1   |
| b15002_023 |    low    |      20259      |   97.3  |
| b15002_023 |   medium  |       519       |   2.5   |
| b15002_023 |    high   |        52       |   0.2   |
| b15002_024 |    low    |      15545      |   98.4  |
| b15002_024 |   medium  |       229       |   1.4   |
| b15002_024 |    high   |        24       |   0.2   |
| b15002_025 |    low    |      20041      |   98.1  |
| b15002_025 |   medium  |       351       |   1.7   |
| b15002_025 |    high   |        41       |   0.2   |
| b15002_026 |    low    |      21703      |   98.4  |
| b15002_026 |   medium  |       310       |   1.4   |
| b15002_026 |    high   |        41       |   0.2   |
| b15002_027 |    low    |      17437      |   98.9  |
| b15002_027 |   medium  |       179       |   1.0   |
| b15002_027 |    high   |        14       |   0.1   |
| b15002_028 |    low    |      55524      |   96.9  |
| b15002_028 |   medium  |       1727      |   3.0   |
| b15002_028 |    high   |        71       |   0.1   |
| b15002_029 |    low    |      41572      |   98.8  |
| b15002_029 |   medium  |       480       |   1.1   |
| b15002_029 |    high   |        6        |   0.0   |
| b15002_030 |    low    |      52175      |   98.2  |
| b15002_030 |   medium  |       951       |   1.8   |
| b15002_030 |    high   |        12       |   0.0   |
| b15002_031 |    low    |      48911      |   97.0  |
| b15002_031 |   medium  |       1405      |   2.8   |
| b15002_031 |    high   |       102       |   0.2   |
| b15002_032 |    low    |      57279      |   93.1  |
| b15002_032 |   medium  |       3721      |   6.0   |
| b15002_032 |    high   |       529       |   0.9   |
| b15002_033 |    low    |      46870      |   93.8  |
| b15002_033 |   medium  |       2697      |   5.4   |
| b15002_033 |    high   |       394       |   0.8   |
| b15002_034 |    low    |      15505      |   96.7  |
| b15002_034 |   medium  |       475       |   3.0   |
| b15002_034 |    high   |        57       |   0.4   |
| b15002_035 |    low    |      11351      |   96.0  |
| b15002_035 |   medium  |       412       |   3.5   |
| b15002_035 |    high   |        60       |   0.5   |
| b19001_001 |    low    |      66345      |   82.7  |
| b19001_001 |   medium  |      10742      |   13.4  |
| b19001_001 |    high   |       3128      |   3.9   |
| b19001_002 |    low    |      46991      |   96.3  |
| b19001_002 |   medium  |       1694      |   3.5   |
| b19001_002 |    high   |       131       |   0.3   |
| b19001_003 |    low    |      42029      |   96.8  |
| b19001_003 |   medium  |       1288      |   3.0   |
| b19001_003 |    high   |       116       |   0.3   |
| b19001_004 |    low    |      43016      |   97.2  |
| b19001_004 |   medium  |       1140      |   2.6   |
| b19001_004 |    high   |       102       |   0.2   |
| b19001_005 |    low    |      42032      |   98.0  |
| b19001_005 |   medium  |       774       |   1.8   |
| b19001_005 |    high   |        77       |   0.2   |
| b19001_006 |    low    |      41239      |   98.3  |
| b19001_006 |   medium  |       668       |   1.6   |
| b19001_006 |    high   |        65       |   0.2   |
| b19001_007 |    low    |      40325      |   98.9  |
| b19001_007 |   medium  |       412       |   1.0   |
| b19001_007 |    high   |        32       |   0.1   |
| b19001_008 |    low    |      38917      |   99.0  |
| b19001_008 |   medium  |       374       |   1.0   |
| b19001_008 |    high   |        28       |   0.1   |
| b19001_009 |    low    |      39064      |   98.9  |
| b19001_009 |   medium  |       404       |   1.0   |
| b19001_009 |    high   |        29       |   0.1   |
| b19001_010 |    low    |      36227      |   99.2  |
| b19001_010 |   medium  |       280       |   0.8   |
| b19001_010 |    high   |        16       |   0.0   |
| b19001_011 |    low    |      46844      |   98.7  |
| b19001_011 |   medium  |       608       |   1.3   |
| b19001_011 |    high   |        23       |   0.0   |
| b19001_012 |    low    |      50723      |   98.3  |
| b19001_012 |   medium  |       828       |   1.6   |
| b19001_012 |    high   |        23       |   0.0   |
| b19001_013 |    low    |      56182      |   96.3  |
| b19001_013 |   medium  |       2028      |   3.5   |
| b19001_013 |    high   |       131       |   0.2   |
| b19001_014 |    low    |      55535      |   94.6  |
| b19001_014 |   medium  |       2921      |   5.0   |
| b19001_014 |    high   |       274       |   0.5   |
| b19001_015 |    low    |      48177      |   93.7  |
| b19001_015 |   medium  |       2881      |   5.6   |
| b19001_015 |    high   |       363       |   0.7   |
| b19001_016 |    low    |      53402      |   90.0  |
| b19001_016 |   medium  |       5037      |   8.5   |
| b19001_016 |    high   |       890       |   1.5   |
| b19001_017 |    low    |      55096      |   83.9  |
| b19001_017 |   medium  |       8630      |   13.1  |
| b19001_017 |    high   |       1980      |   3.0   |
| b19013_001 |    low    |      55585      |   86.4  |
| b19013_001 |   medium  |       7891      |   12.3  |
| b19013_001 |    high   |       839       |   1.3   |
| b19083_001 |    low    |      29465      |   95.6  |
| b19083_001 |   medium  |       1320      |   4.3   |
| b19083_001 |    high   |        27       |   0.1   |
| b23025_001 |    low    |      69527      |   80.3  |
| b23025_001 |   medium  |      11352      |   13.1  |
| b23025_001 |    high   |       5686      |   6.6   |
| b23025_002 |    low    |      67784      |   87.8  |
| b23025_002 |   medium  |       7733      |   10.0  |
| b23025_002 |    high   |       1729      |   2.2   |
| b23025_003 |    low    |      67714      |   87.9  |
| b23025_003 |   medium  |       7661      |   9.9   |
| b23025_003 |    high   |       1679      |   2.2   |
| b23025_004 |    low    |      71564      |   85.0  |
| b23025_004 |   medium  |       9949      |   11.8  |
| b23025_004 |    high   |       2654      |   3.2   |
| b23025_005 |    low    |      87777      |   87.1  |
| b23025_005 |   medium  |      10602      |   10.5  |
| b23025_005 |    high   |       2355      |   2.3   |
| b23025_006 |    low    |       4080      |   95.1  |
| b23025_006 |   medium  |       200       |   4.7   |
| b23025_006 |    high   |        9        |   0.2   |
| b23025_007 |    low    |      64270      |   90.6  |
| b23025_007 |   medium  |       5838      |   8.2   |
| b23025_007 |    high   |       841       |   1.2   |
| b25002_001 |    low    |      66090      |   78.5  |
| b25002_001 |   medium  |      12171      |   14.5  |
| b25002_001 |    high   |       5921      |   7.0   |
| b25002_002 |    low    |      66345      |   82.7  |
| b25002_002 |   medium  |      10742      |   13.4  |
| b25002_002 |    high   |       3128      |   3.9   |
| b25002_003 |    low    |      54512      |   94.0  |
| b25002_003 |   medium  |       3291      |   5.7   |
| b25002_003 |    high   |       213       |   0.4   |
| b25003_001 |    low    |      66345      |   82.7  |
| b25003_001 |   medium  |      10742      |   13.4  |
| b25003_001 |    high   |       3128      |   3.9   |
| b25003_002 |    low    |      60995      |   89.4  |
| b25003_002 |   medium  |       6169      |   9.0   |
| b25003_002 |    high   |       1095      |   1.6   |
| b25003_003 |    low    |      61069      |   91.5  |
| b25003_003 |   medium  |       5068      |   7.6   |
| b25003_003 |    high   |       608       |   0.9   |
| b25010_001 |    low    |      61331      |   95.0  |
| b25010_001 |   medium  |       3135      |   4.9   |
| b25010_001 |    high   |       120       |   0.2   |
| b25010_002 |    low    |      58624      |   95.1  |
| b25010_002 |   medium  |       2892      |   4.7   |
| b25010_002 |    high   |       104       |   0.2   |
| b25010_003 |    low    |      63530      |   91.1  |
| b25010_003 |   medium  |       5822      |   8.3   |
| b25010_003 |    high   |       393       |   0.6   |
| b25063_001 |    low    |      61069      |   91.5  |
| b25063_001 |   medium  |       5068      |   7.6   |
| b25063_001 |    high   |       608       |   0.9   |
| b25063_002 |    low    |      59843      |   91.4  |
| b25063_002 |   medium  |       5008      |   7.6   |
| b25063_002 |    high   |       617       |   0.9   |
| b25063_003 |    low    |       2147      |   96.9  |
| b25063_003 |   medium  |        64       |   2.9   |
| b25063_003 |    high   |        4        |   0.2   |
| b25063_004 |    low    |       1927      |   98.1  |
| b25063_004 |   medium  |        29       |   1.5   |
| b25063_004 |    high   |        8        |   0.4   |
| b25063_005 |    low    |       4751      |   96.5  |
| b25063_005 |   medium  |       150       |   3.0   |
| b25063_005 |    high   |        21       |   0.4   |
| b25063_006 |    low    |       8288      |   97.4  |
| b25063_006 |   medium  |       194       |   2.3   |
| b25063_006 |    high   |        31       |   0.4   |
| b25063_007 |    low    |       7417      |   98.4  |
| b25063_007 |   medium  |       117       |   1.6   |
| b25063_007 |    high   |        5        |   0.1   |
| b25063_008 |    low    |       7259      |   98.8  |
| b25063_008 |   medium  |        78       |   1.1   |
| b25063_008 |    high   |        8        |   0.1   |
| b25063_009 |    low    |       8090      |   97.9  |
| b25063_009 |   medium  |       156       |   1.9   |
| b25063_009 |    high   |        16       |   0.2   |
| b25063_010 |    low    |      10178      |   95.7  |
| b25063_010 |   medium  |       417       |   3.9   |
| b25063_010 |    high   |        38       |   0.4   |
| b25063_011 |    low    |      11961      |   94.6  |
| b25063_011 |   medium  |       600       |   4.7   |
| b25063_011 |    high   |        83       |   0.7   |
| b25063_012 |    low    |      15594      |   93.9  |
| b25063_012 |   medium  |       870       |   5.2   |
| b25063_012 |    high   |       144       |   0.9   |
| b25063_013 |    low    |      16644      |   93.2  |
| b25063_013 |   medium  |       1034      |   5.8   |
| b25063_013 |    high   |       173       |   1.0   |
| b25063_014 |    low    |      17793      |   93.7  |
| b25063_014 |   medium  |       1026      |   5.4   |
| b25063_014 |    high   |       174       |   0.9   |
| b25063_015 |    low    |      19513      |   93.8  |
| b25063_015 |   medium  |       1076      |   5.2   |
| b25063_015 |    high   |       208       |   1.0   |
| b25063_016 |    low    |      20413      |   93.8  |
| b25063_016 |   medium  |       1146      |   5.3   |
| b25063_016 |    high   |       214       |   1.0   |
| b25063_017 |    low    |      20260      |   94.5  |
| b25063_017 |   medium  |       1021      |   4.8   |
| b25063_017 |    high   |       168       |   0.8   |
| b25063_018 |    low    |      33413      |   92.9  |
| b25063_018 |   medium  |       2259      |   6.3   |
| b25063_018 |    high   |       312       |   0.9   |
| b25063_019 |    low    |      32558      |   93.1  |
| b25063_019 |   medium  |       2176      |   6.2   |
| b25063_019 |    high   |       227       |   0.6   |
| b25063_020 |    low    |      45746      |   88.1  |
| b25063_020 |   medium  |       5520      |   10.6  |
| b25063_020 |    high   |       655       |   1.3   |
| b25063_021 |    low    |      35044      |   87.7  |
| b25063_021 |   medium  |       4277      |   10.7  |
| b25063_021 |    high   |       628       |   1.6   |
| b25063_022 |    low    |      35524      |   83.1  |
| b25063_022 |   medium  |       6041      |   14.1  |
| b25063_022 |    high   |       1166      |   2.7   |
| b25063_023 |    low    |      21299      |   80.3  |
| b25063_023 |   medium  |       4159      |   15.7  |
| b25063_023 |    high   |       1070      |   4.0   |
| b25063_024 |    low    |      22726      |   98.3  |
| b25063_024 |   medium  |       373       |   1.6   |
| b25063_024 |    high   |        19       |   0.1   |
| b25064_001 |    low    |      52713      |   77.5  |
| b25064_001 |   medium  |      13089      |   19.2  |
| b25064_001 |    high   |       2196      |   3.2   |
| b25070_001 |    low    |      61069      |   91.5  |
| b25070_001 |   medium  |       5068      |   7.6   |
| b25070_001 |    high   |       608       |   0.9   |
| b25070_002 |    low    |      15155      |   97.7  |
| b25070_002 |   medium  |       316       |   2.0   |
| b25070_002 |    high   |        42       |   0.3   |
| b25070_003 |    low    |      27195      |   97.5  |
| b25070_003 |   medium  |       644       |   2.3   |
| b25070_003 |    high   |        58       |   0.2   |
| b25070_004 |    low    |      31339      |   97.8  |
| b25070_004 |   medium  |       647       |   2.0   |
| b25070_004 |    high   |        47       |   0.1   |
| b25070_005 |    low    |      30943      |   98.4  |
| b25070_005 |   medium  |       460       |   1.5   |
| b25070_005 |    high   |        35       |   0.1   |
| b25070_006 |    low    |      28012      |   98.8  |
| b25070_006 |   medium  |       308       |   1.1   |
| b25070_006 |    high   |        18       |   0.1   |
| b25070_007 |    low    |      23881      |   99.1  |
| b25070_007 |   medium  |       197       |   0.8   |
| b25070_007 |    high   |        14       |   0.1   |
| b25070_008 |    low    |      18726      |   99.4  |
| b25070_008 |   medium  |       100       |   0.5   |
| b25070_008 |    high   |        9        |   0.0   |
| b25070_009 |    low    |      23711      |   99.3  |
| b25070_009 |   medium  |       152       |   0.6   |
| b25070_009 |    high   |        8        |   0.0   |
| b25070_010 |    low    |      41236      |   97.9  |
| b25070_010 |   medium  |       852       |   2.0   |
| b25070_010 |    high   |        34       |   0.1   |
| b25070_011 |    low    |      28013      |   98.2  |
| b25070_011 |   medium  |       485       |   1.7   |
| b25070_011 |    high   |        27       |   0.1   |
| b25077_001 |    low    |      81390      |   66.6  |
| b25077_001 |   medium  |      31989      |   26.2  |
| b25077_001 |    high   |       8746      |   7.2   |
| b26001_001 |    low    |       4333      |   80.8  |
| b26001_001 |   medium  |       792       |   14.8  |
| b26001_001 |    high   |       239       |   4.5   |
| c17002_001 |    low    |      69794      |   78.3  |
| c17002_001 |   medium  |      11970      |   13.4  |
| c17002_001 |    high   |       7428      |   8.3   |
| c17002_002 |    low    |      48673      |   97.5  |
| c17002_002 |   medium  |       1158      |   2.3   |
| c17002_002 |    high   |        90       |   0.2   |
| c17002_003 |    low    |      51369      |   97.3  |
| c17002_003 |   medium  |       1290      |   2.4   |
| c17002_003 |    high   |       115       |   0.2   |
| c17002_004 |    low    |      40235      |   99.1  |
| c17002_004 |   medium  |       359       |   0.9   |
| c17002_004 |    high   |        26       |   0.1   |
| c17002_005 |    low    |      42034      |   98.7  |
| c17002_005 |   medium  |       528       |   1.2   |
| c17002_005 |    high   |        41       |   0.1   |
| c17002_006 |    low    |      47270      |   98.9  |
| c17002_006 |   medium  |       514       |   1.1   |
| c17002_006 |    high   |        17       |   0.0   |
| c17002_007 |    low    |      30930      |   99.5  |
| c17002_007 |   medium  |       160       |   0.5   |
| c17002_007 |    high   |        6        |   0.0   |
| c17002_008 |    low    |      73478      |   85.1  |
| c17002_008 |   medium  |      10334      |   12.0  |
| c17002_008 |    high   |       2548      |   3.0   |
| c24030_001 |    low    |      71564      |   85.0  |
| c24030_001 |   medium  |       9949      |   11.8  |
| c24030_001 |    high   |       2654      |   3.2   |
| c24030_002 |    low    |      67005      |   88.4  |
| c24030_002 |   medium  |       7243      |   9.6   |
| c24030_002 |    high   |       1590      |   2.1   |
| c24030_003 |    low    |      18709      |   98.2  |
| c24030_003 |   medium  |       327       |   1.7   |
| c24030_003 |    high   |        12       |   0.1   |
| c24030_006 |    low    |      44714      |   97.0  |
| c24030_006 |   medium  |       1235      |   2.7   |
| c24030_006 |    high   |       131       |   0.3   |
| c24030_007 |    low    |      45153      |   97.9  |
| c24030_007 |   medium  |       922       |   2.0   |
| c24030_007 |    high   |        36       |   0.1   |
| c24030_008 |    low    |      22755      |   99.5  |
| c24030_008 |   medium  |       118       |   0.5   |
| c24030_009 |    low    |      43446      |   98.7  |
| c24030_009 |   medium  |       522       |   1.2   |
| c24030_009 |    high   |        28       |   0.1   |
| c24030_010 |    low    |      38538      |   97.3  |
| c24030_010 |   medium  |       931       |   2.4   |
| c24030_010 |    high   |       119       |   0.3   |
| c24030_013 |    low    |      14203      |   98.8  |
| c24030_013 |   medium  |       144       |   1.0   |
| c24030_013 |    high   |        22       |   0.2   |
| c24030_014 |    low    |      27098      |   98.0  |
| c24030_014 |   medium  |       506       |   1.8   |
| c24030_014 |    high   |        40       |   0.1   |
| c24030_017 |    low    |      43464      |   96.7  |
| c24030_017 |   medium  |       1304      |   2.9   |
| c24030_017 |    high   |       197       |   0.4   |
| c24030_021 |    low    |      41784      |   97.9  |
| c24030_021 |   medium  |       823       |   1.9   |
| c24030_021 |    high   |        53       |   0.1   |
| c24030_024 |    low    |      38185      |   98.5  |
| c24030_024 |   medium  |       567       |   1.5   |
| c24030_024 |    high   |        34       |   0.1   |
| c24030_027 |    low    |      27107      |   99.5  |
| c24030_027 |   medium  |       125       |   0.5   |
| c24030_027 |    high   |        11       |   0.0   |
| c24030_028 |    low    |      27451      |   99.3  |
| c24030_028 |   medium  |       196       |   0.7   |
| c24030_028 |    high   |        2        |   0.0   |
| c24030_029 |    low    |      65505      |   89.7  |
| c24030_029 |   medium  |       6409      |   8.8   |
| c24030_029 |    high   |       1126      |   1.5   |
| c24030_030 |    low    |       5645      |   98.9  |
| c24030_030 |   medium  |        61       |   1.1   |
| c24030_030 |    high   |        3        |   0.1   |
| c24030_033 |    low    |       8866      |   97.6  |
| c24030_033 |   medium  |       196       |   2.2   |
| c24030_033 |    high   |        24       |   0.3   |
| c24030_034 |    low    |      31262      |   98.7  |
| c24030_034 |   medium  |       396       |   1.3   |
| c24030_034 |    high   |        17       |   0.1   |
| c24030_035 |    low    |       9959      |   99.4  |
| c24030_035 |   medium  |        58       |   0.6   |
| c24030_035 |    high   |        3        |   0.0   |
| c24030_036 |    low    |      43601      |   98.8  |
| c24030_036 |   medium  |       495       |   1.1   |
| c24030_036 |    high   |        17       |   0.0   |
| c24030_037 |    low    |      17310      |   97.6  |
| c24030_037 |   medium  |       369       |   2.1   |
| c24030_037 |    high   |        50       |   0.3   |
| c24030_040 |    low    |      10601      |   98.9  |
| c24030_040 |   medium  |       119       |   1.1   |
| c24030_040 |    high   |        4        |   0.0   |
| c24030_041 |    low    |      33561      |   99.0  |
| c24030_041 |   medium  |       327       |   1.0   |
| c24030_041 |    high   |        25       |   0.1   |
| c24030_044 |    low    |      40203      |   97.1  |
| c24030_044 |   medium  |       1054      |   2.5   |
| c24030_044 |    high   |       167       |   0.4   |
| c24030_048 |    low    |      56440      |   95.9  |
| c24030_048 |   medium  |       2227      |   3.8   |
| c24030_048 |    high   |       182       |   0.3   |
| c24030_051 |    low    |      42373      |   98.2  |
| c24030_051 |   medium  |       718       |   1.7   |
| c24030_051 |    high   |        50       |   0.1   |
| c24030_054 |    low    |      29686      |   99.2  |
| c24030_054 |   medium  |       221       |   0.7   |
| c24030_054 |    high   |        15       |   0.1   |
| c24030_055 |    low    |      24524      |   99.3  |
| c24030_055 |   medium  |       159       |   0.6   |
| c24030_055 |    high   |        7        |   0.0   |
+------------+-----------+-----------------+---------+

These summaries only include values where the estimates from both
time periods were statistically different from each other.

The following variables represent the same values:
b01001_001: b02001_001, b03002_001, b05002_001
b11001_001: b19001_001
b23025_003: c24030_001
b25002_002: b25003_001
b25003_003: b25063_001, b25070_001
