Coefficient of Variation for Change: Percent Total by Variable

+------------+-----------+-----------------+---------+
|  variable  | change_cv | change_cv_count | percent |
| b01001_044 |   medium  |       921       |   2.5   |
| b01001_044 |    high   |        82       |   0.2   |
| b01001_045 |    low    |      45995      |   94.6  |
| b01001_045 |   medium  |       2248      |   4.6   |
| b01001_045 |    high   |       353       |   0.7   |
| b01001_046 |    low    |      51263      |   93.7  |
| b01001_046 |   medium  |       2960      |   5.4   |
| b01001_046 |    high   |       470       |   0.9   |
| b01001_047 |    low    |      40971      |   96.6  |
| b01001_047 |   medium  |       1315      |   3.1   |
| b01001_047 |    high   |       143       |   0.3   |
| b01001_048 |    low    |      31298      |   98.8  |
| b01001_048 |   medium  |       365       |   1.2   |
| b01001_048 |    high   |        17       |   0.1   |
| b01001_049 |    low    |      26753      |   98.8  |
| b01001_049 |   medium  |       296       |   1.1   |
| b01001_049 |    high   |        16       |   0.1   |
| b01002_001 |    low    |      58811      |   86.6  |
| b01002_001 |   medium  |       7919      |   11.7  |
| b01002_001 |    high   |       1162      |   1.7   |
| b01002_002 |    low    |      51335      |   87.7  |
| b01002_002 |   medium  |       6427      |   11.0  |
| b01002_002 |    high   |       753       |   1.3   |
| b01002_003 |    low    |      52931      |   87.5  |
| b01002_003 |   medium  |       6726      |   11.1  |
| b01002_003 |    high   |       833       |   1.4   |
| b02001_001 |    low    |      67600      |   72.2  |
| b02001_001 |   medium  |      11288      |   12.1  |
| b02001_001 |    high   |      14728      |   15.7  |
| b02001_002 |    low    |      70866      |   83.9  |
| b02001_002 |   medium  |       9940      |   11.8  |
| b02001_002 |    high   |       3651      |   4.3   |
| b02001_003 |    low    |      40227      |   91.4  |
| b02001_003 |   medium  |       3196      |   7.3   |
| b02001_003 |    high   |       591       |   1.3   |
| b02001_004 |    low    |      12967      |   95.4  |
| b02001_004 |   medium  |       583       |   4.3   |
| b02001_004 |    high   |        38       |   0.3   |
| b02001_005 |    low    |      31134      |   89.5  |
| b02001_005 |   medium  |       2906      |   8.4   |
| b02001_005 |    high   |       743       |   2.1   |
| b02001_006 |    low    |       3124      |   91.0  |
| b02001_006 |   medium  |       248       |   7.2   |
| b02001_006 |    high   |        60       |   1.7   |
| b02001_007 |    low    |      31819      |   88.3  |
| b02001_007 |   medium  |       3588      |   10.0  |
| b02001_007 |    high   |       629       |   1.7   |
| b02001_008 |    low    |      42878      |   94.8  |
| b02001_008 |   medium  |       2127      |   4.7   |
| b02001_008 |    high   |       222       |   0.5   |
| b02001_009 |    low    |       8789      |   97.8  |
| b02001_009 |   medium  |       189       |   2.1   |
| b02001_009 |    high   |        8        |   0.1   |
| b02001_010 |    low    |      39519      |   94.3  |
| b02001_010 |   medium  |       2132      |   5.1   |
| b02001_010 |    high   |       240       |   0.6   |
| b03002_001 |    low    |      67600      |   72.2  |
| b03002_001 |   medium  |      11288      |   12.1  |
| b03002_001 |    high   |      14728      |   15.7  |
| b03002_002 |    low    |      68675      |   80.8  |
| b03002_002 |   medium  |       9366      |   11.0  |
| b03002_002 |    high   |       6976      |   8.2   |
| b03002_003 |    low    |      66808      |   84.4  |
| b03002_003 |   medium  |       7313      |   9.2   |
| b03002_003 |    high   |       5022      |   6.3   |
