Coefficient of Variation for Change: Percent Total by Table and Summary Level

+--------+----------+-----------+-----------------+---------+
| table  | sumlevel | change_cv | change_cv_count | percent |
| b02001 |   040    |   medium  |        97       |   23.0  |
| b02001 |   040    |    high   |       228       |   54.2  |
| b02001 |   050    |    low    |       5602      |   43.9  |
| b02001 |   050    |   medium  |       2301      |   18.0  |
| b02001 |   050    |    high   |       4845      |   38.0  |
| b02001 |   060    |    low    |      30390      |   77.1  |
| b02001 |   060    |   medium  |       5282      |   13.4  |
| b02001 |   060    |    high   |       3751      |   9.5   |
| b02001 |   140    |    low    |      86562      |   90.6  |
| b02001 |   140    |   medium  |       7732      |   8.1   |
| b02001 |   140    |    high   |       1228      |   1.3   |
| b02001 |   150    |    low    |      150951     |   95.5  |
| b02001 |   150    |   medium  |       6650      |   4.2   |
| b02001 |   150    |    high   |       462       |   0.3   |
| b02001 |   160    |    low    |      23288      |   74.2  |
| b02001 |   160    |   medium  |       3771      |   12.0  |
| b02001 |   160    |    high   |       4339      |   13.8  |
| b02001 |   170    |    low    |        9        |   28.1  |
| b02001 |   170    |   medium  |        6        |   18.8  |
| b02001 |   170    |    high   |        17       |   53.1  |
| b02001 |   250    |    low    |       657       |   85.2  |
| b02001 |   250    |   medium  |        91       |   11.8  |
| b02001 |   250    |    high   |        23       |   3.0   |
| b02001 |   251    |    low    |       420       |   88.8  |
| b02001 |   251    |   medium  |        47       |   9.9   |
| b02001 |   251    |    high   |        6        |   1.3   |
| b02001 |   256    |    low    |       499       |   90.6  |
| b02001 |   256    |   medium  |        46       |   8.3   |
| b02001 |   256    |    high   |        6        |   1.1   |
| b02001 |   258    |    low    |       786       |   93.7  |
| b02001 |   258    |   medium  |        51       |   6.1   |
| b02001 |   258    |    high   |        2        |   0.2   |
| b02001 |   310    |    low    |       1587      |   42.7  |
| b02001 |   310    |   medium  |       758       |   20.4  |
| b02001 |   310    |    high   |       1368      |   36.8  |
| b02001 |   400    |    low    |       5816      |   76.0  |
| b02001 |   400    |   medium  |       1287      |   16.8  |
| b02001 |   400    |    high   |       546       |   7.1   |
| b02001 |   500    |    low    |       928       |   40.4  |
| b02001 |   500    |   medium  |       747       |   32.5  |
| b02001 |   500    |    high   |       622       |   27.1  |
| b02001 |   795    |    low    |       5729      |   54.9  |
| b02001 |   795    |   medium  |       2548      |   24.4  |
| b02001 |   795    |    high   |       2153      |   20.6  |
| b02001 |   860    |    low    |      35592      |   85.6  |
| b02001 |   860    |   medium  |       4762      |   11.5  |
| b02001 |   860    |    high   |       1212      |   2.9   |
| b03002 |   010    |    low    |        1        |   4.8   |
| b03002 |   010    |   medium  |        1        |   4.8   |
| b03002 |   010    |    high   |        19       |   90.5  |
| b03002 |   020    |    low    |        5        |   6.3   |
| b03002 |   020    |   medium  |        19       |   24.1  |
| b03002 |   020    |    high   |        55       |   69.6  |
| b03002 |   030    |    low    |        33       |   19.4  |
| b03002 |   030    |   medium  |        34       |   20.0  |
| b03002 |   030    |    high   |       103       |   60.6  |
| b03002 |   040    |    low    |       220       |   28.7  |
| b03002 |   040    |   medium  |       164       |   21.4  |
| b03002 |   040    |    high   |       383       |   49.9  |
| b03002 |   050    |    low    |       8084      |   36.1  |
| b03002 |   050    |   medium  |       2623      |   11.7  |
| b03002 |   050    |    high   |      11672      |   52.2  |
| b03002 |   060    |    low    |      47497      |   79.2  |
| b03002 |   060    |   medium  |       7819      |   13.0  |
| b03002 |   060    |    high   |       4674      |   7.8   |
| b03002 |   140    |    low    |      131584     |   91.1  |
| b03002 |   140    |   medium  |      11216      |   7.8   |
| b03002 |   140    |    high   |       1660      |   1.1   |
| b03002 |   150    |    low    |      230455     |   95.6  |
| b03002 |   150    |   medium  |       9941      |   4.1   |
| b03002 |   150    |    high   |       683       |   0.3   |
| b03002 |   160    |    low    |      36985      |   77.2  |
| b03002 |   160    |   medium  |       5760      |   12.0  |
| b03002 |   160    |    high   |       5157      |   10.8  |
| b03002 |   170    |    low    |        18       |   30.0  |
| b03002 |   170    |   medium  |        7        |   11.7  |
| b03002 |   170    |    high   |        35       |   58.3  |
| b03002 |   250    |    low    |       984       |   83.8  |
| b03002 |   250    |   medium  |       143       |   12.2  |
| b03002 |   250    |    high   |        47       |   4.0   |
| b03002 |   251    |    low    |       606       |   89.1  |
| b03002 |   251    |   medium  |        56       |   8.2   |
| b03002 |   251    |    high   |        18       |   2.6   |
| b03002 |   256    |    low    |       788       |   92.2  |
| b03002 |   256    |   medium  |        57       |   6.7   |
| b03002 |   256    |    high   |        10       |   1.2   |
| b03002 |   258    |    low    |       1210      |   94.9  |
| b03002 |   258    |   medium  |        62       |   4.9   |
| b03002 |   258    |    high   |        3        |   0.2   |
| b03002 |   310    |    low    |       2476      |   36.9  |
| b03002 |   310    |   medium  |       915       |   13.7  |
| b03002 |   310    |    high   |       3312      |   49.4  |
| b03002 |   400    |    low    |       9393      |   76.3  |
| b03002 |   400    |   medium  |       2020      |   16.4  |
| b03002 |   400    |    high   |       903       |   7.3   |
| b03002 |   500    |    low    |       1811      |   44.9  |
| b03002 |   500    |   medium  |       1063      |   26.4  |
| b03002 |   500    |    high   |       1157      |   28.7  |
| b03002 |   795    |    low    |      10046      |   56.3  |
| b03002 |   795    |   medium  |       3756      |   21.0  |
| b03002 |   795    |    high   |       4043      |   22.7  |
| b03002 |   860    |    low    |      56196      |   86.6  |
| b03002 |   860    |   medium  |       7165      |   11.0  |
| b03002 |   860    |    high   |       1513      |   2.3   |
| b05002 |   010    |    low    |        1        |   7.1   |
| b05002 |   010    |    high   |        13       |   92.9  |
| b05002 |   020    |    low    |        6        |   10.9  |
| b05002 |   020    |   medium  |        9        |   16.4  |
| b05002 |   020    |    high   |        40       |   72.7  |
| b05002 |   030    |    low    |        13       |   10.8  |
| b05002 |   030    |   medium  |        21       |   17.5  |
| b05002 |   030    |    high   |        86       |   71.7  |
| b05002 |   040    |    low    |       151       |   25.8  |
| b05002 |   040    |   medium  |       169       |   28.9  |
| b05002 |   040    |    high   |       265       |   45.3  |
| b05002 |   050    |    low    |       8093      |   53.6  |
| b05002 |   050    |   medium  |       2286      |   15.1  |
| b05002 |   050    |    high   |       4733      |   31.3  |
| b05002 |   060    |    low    |      53872      |   83.9  |
| b05002 |   060    |   medium  |       6314      |   9.8   |
| b05002 |   060    |    high   |       4043      |   6.3   |
| b05002 |   140    |    low    |      145151     |   93.2  |
| b05002 |   140    |   medium  |       9307      |   6.0   |
| b05002 |   140    |    high   |       1351      |   0.9   |
| b05002 |   160    |    low    |      41048      |   80.8  |
| b05002 |   160    |   medium  |       4899      |   9.6   |
| b05002 |   160    |    high   |       4851      |   9.5   |
| b05002 |   170    |    low    |        18       |   41.9  |
| b05002 |   170    |   medium  |        12       |   27.9  |
| b05002 |   170    |    high   |        13       |   30.2  |
| b05002 |   250    |    low    |       792       |   88.1  |
| b05002 |   250    |   medium  |        83       |   9.2   |
| b05002 |   250    |    high   |        24       |   2.7   |
| b05002 |   251    |    low    |       537       |   94.0  |
| b05002 |   251    |   medium  |        29       |   5.1   |
| b05002 |   251    |    high   |        5        |   0.9   |
| b05002 |   256    |    low    |       632       |   93.6  |
| b05002 |   256    |   medium  |        36       |   5.3   |
| b05002 |   256    |    high   |        7        |   1.0   |
| b05002 |   310    |    low    |       2281      |   51.0  |
| b05002 |   310    |   medium  |       832       |   18.6  |
| b05002 |   310    |    high   |       1356      |   30.3  |
| b05002 |   400    |    low    |       8616      |   81.5  |
| b05002 |   400    |   medium  |       1425      |   13.5  |
| b05002 |   400    |    high   |       536       |   5.1   |
| b05002 |   500    |    low    |       1394      |   44.4  |
| b05002 |   500    |   medium  |       1029      |   32.8  |
| b05002 |   500    |    high   |       717       |   22.8  |
| b05002 |   795    |    low    |       8512      |   61.1  |
| b05002 |   795    |   medium  |       3232      |   23.2  |
| b05002 |   795    |    high   |       2194      |   15.7  |
| b05002 |   860    |    low    |      59020      |   89.5  |
| b05002 |   860    |   medium  |       5794      |   8.8   |
| b05002 |   860    |    high   |       1150      |   1.7   |
| b07204 |   010    |    low    |        1        |   5.6   |
| b07204 |   010    |   medium  |        5        |   27.8  |
| b07204 |   010    |    high   |        12       |   66.7  |
| b07204 |   020    |    low    |        14       |   22.6  |
| b07204 |   020    |   medium  |        15       |   24.2  |
| b07204 |   020    |    high   |        33       |   53.2  |
| b07204 |   030    |    low    |        43       |   33.6  |
| b07204 |   030    |   medium  |        34       |   26.6  |
| b07204 |   030    |    high   |        51       |   39.8  |
| b07204 |   040    |    low    |       244       |   47.4  |
| b07204 |   040    |   medium  |       133       |   25.8  |
| b07204 |   040    |    high   |       138       |   26.8  |
| b07204 |   050    |    low    |       9317      |   70.0  |
| b07204 |   050    |   medium  |       1902      |   14.3  |
| b07204 |   050    |    high   |       2099      |   15.8  |
| b07204 |   060    |    low    |      47994      |   88.0  |
| b07204 |   060    |   medium  |       4684      |   8.6   |
