Statistically Significant Difference: Percent Total by Table and Summary Level

+--------+----------+---------+---------------+---------+
| table  | sumlevel | sig_dif | sig_dif_count | percent |
| b02001 |   860    |   True  |     41566     |   12.6  |
| b03002 |   010    |   True  |       21      |  100.0  |
| b03002 |   020    |  False  |       5       |   6.0   |
| b03002 |   020    |   True  |       79      |   94.0  |
| b03002 |   030    |  False  |       19      |   10.1  |
| b03002 |   030    |   True  |      170      |   89.9  |
| b03002 |   040    |  False  |      325      |   29.8  |
| b03002 |   040    |   True  |      767      |   70.2  |
| b03002 |   050    |  False  |     45231     |   66.9  |
| b03002 |   050    |   True  |     22379     |   33.1  |
| b03002 |   050    |   nan   |       10      |   0.0   |
| b03002 |   060    |  False  |     707434    |   92.2  |
| b03002 |   060    |   True  |     59990     |   7.8   |
| b03002 |   140    |  False  |    1402020    |   90.7  |
| b03002 |   140    |   True  |     144460    |   9.3   |
| b03002 |   140    |   nan   |       2       |   0.0   |
| b03002 |   150    |  False  |    4378375    |   94.8  |
| b03002 |   150    |   True  |     241079    |   5.2   |
| b03002 |   160    |  False  |     571808    |   92.3  |
| b03002 |   160    |   True  |     47902     |   7.7   |
| b03002 |   170    |  False  |      108      |   64.3  |
| b03002 |   170    |   True  |       60      |   35.7  |
| b03002 |   250    |  False  |     13379     |   91.9  |
| b03002 |   250    |   True  |      1174     |   8.1   |
| b03002 |   251    |  False  |      9400     |   93.3  |
| b03002 |   251    |   True  |      680      |   6.7   |
| b03002 |   256    |  False  |      9246     |   91.5  |
| b03002 |   256    |   True  |      855      |   8.5   |
| b03002 |   258    |  False  |     17940     |   93.4  |
| b03002 |   258    |   True  |      1275     |   6.6   |
| b03002 |   310    |  False  |     10012     |   59.9  |
| b03002 |   310    |   True  |      6703     |   40.1  |
| b03002 |   310    |   nan   |       1       |   0.0   |
| b03002 |   400    |  False  |     63116     |   83.7  |
| b03002 |   400    |   True  |     12316     |   16.3  |
| b03002 |   500    |  False  |      3697     |   47.8  |
| b03002 |   500    |   True  |      4031     |   52.2  |
| b03002 |   795    |  False  |     32093     |   64.3  |
| b03002 |   795    |   True  |     17845     |   35.7  |
| b03002 |   860    |  False  |     630646    |   90.7  |
| b03002 |   860    |   True  |     64874     |   9.3   |
| b05002 |   010    |  False  |       1       |   6.7   |
| b05002 |   010    |   True  |       14      |   93.3  |
| b05002 |   020    |  False  |       5       |   8.3   |
| b05002 |   020    |   True  |       55      |   91.7  |
| b05002 |   030    |  False  |       15      |   11.1  |
| b05002 |   030    |   True  |      120      |   88.9  |
| b05002 |   040    |  False  |      195      |   25.0  |
| b05002 |   040    |   True  |      585      |   75.0  |
| b05002 |   050    |  False  |     33188     |   68.7  |
| b05002 |   050    |   True  |     15112     |   31.3  |
| b05002 |   060    |  False  |     483931    |   88.3  |
| b05002 |   060    |   True  |     64229     |   11.7  |
| b05002 |   140    |  False  |     948821    |   85.9  |
| b05002 |   140    |   True  |     155809    |   14.1  |
| b05002 |   160    |  False  |     391852    |   88.5  |
| b05002 |   160    |   True  |     50798     |   11.5  |
| b05002 |   170    |  False  |       77      |   64.2  |
| b05002 |   170    |   True  |       43      |   35.8  |
| b05002 |   250    |  False  |      9496     |   91.4  |
| b05002 |   250    |   True  |      899      |   8.6   |
| b05002 |   251    |  False  |      6629     |   92.1  |
| b05002 |   251    |   True  |      571      |   7.9   |
| b05002 |   256    |  False  |      6540     |   90.6  |
| b05002 |   256    |   True  |      675      |   9.4   |
| b05002 |   310    |  False  |      7471     |   62.6  |
| b05002 |   310    |   True  |      4469     |   37.4  |
| b05002 |   400    |  False  |     43303     |   80.4  |
| b05002 |   400    |   True  |     10577     |   19.6  |
| b05002 |   500    |  False  |      2380     |   43.1  |
| b05002 |   500    |   True  |      3140     |   56.9  |
| b05002 |   795    |  False  |     21732     |   60.9  |
| b05002 |   795    |   True  |     13938     |   39.1  |
| b05002 |   860    |  False  |     430836    |   86.7  |
| b05002 |   860    |   True  |     65964     |   13.3  |
| b07204 |   010    |  False  |       1       |   5.3   |
| b07204 |   010    |   True  |       18      |   94.7  |
| b07204 |   020    |  False  |       14      |   18.4  |
| b07204 |   020    |   True  |       62      |   81.6  |
| b07204 |   030    |  False  |       43      |   25.1  |
| b07204 |   030    |   True  |      128      |   74.9  |
| b07204 |   040    |  False  |      454      |   46.0  |
| b07204 |   040    |   True  |      515      |   52.1  |
| b07204 |   040    |   nan   |       19      |   1.9   |
| b07204 |   050    |  False  |     46380     |   75.8  |
| b07204 |   050    |   True  |     13318     |   21.8  |
| b07204 |   050    |   nan   |      1482     |   2.4   |
| b07204 |   060    |  False  |     621977    |   89.6  |
| b07204 |   060    |   True  |     54518     |   7.9   |
| b07204 |   060    |   nan   |     17841     |   2.6   |
| b07204 |   140    |  False  |    1249773    |   89.3  |
| b07204 |   140    |   True  |     132268    |   9.5   |
| b07204 |   140    |   nan   |     17157     |   1.2   |
| b07204 |   160    |  False  |     511793    |   91.3  |
| b07204 |   160    |   True  |     44090     |   7.9   |
| b07204 |   160    |   nan   |      4807     |   0.9   |
| b07204 |   170    |  False  |      112      |   73.7  |
| b07204 |   170    |   True  |       40      |   26.3  |
| b07204 |   250    |  False  |     12264     |   93.1  |
| b07204 |   250    |   True  |      903      |   6.9   |
| b07204 |   251    |  False  |      8527     |   93.5  |
| b07204 |   251    |   True  |      593      |   6.5   |
| b07204 |   256    |  False  |      8407     |   92.0  |
| b07204 |   256    |   True  |      732      |   8.0   |
| b07204 |   310    |  False  |     10802     |   71.4  |
| b07204 |   310    |   True  |      4151     |   27.4  |
| b07204 |   310    |   nan   |      171      |   1.1   |
| b07204 |   400    |  False  |     57626     |   84.4  |
| b07204 |   400    |   True  |     10261     |   15.0  |
| b07204 |   400    |   nan   |      361      |   0.5   |
| b07204 |   500    |  False  |      4313     |   61.7  |
| b07204 |   500    |   True  |      2660     |   38.0  |
| b07204 |   500    |   nan   |       19      |   0.3   |
| b07204 |   795    |  False  |     32231     |   71.3  |
| b07204 |   795    |   True  |     12438     |   27.5  |
| b07204 |   795    |   nan   |      513      |   1.1   |
| b07204 |   860    |  False  |     567060    |   90.1  |
| b07204 |   860    |   True  |     59731     |   9.5   |
| b07204 |   860    |   nan   |      2489     |   0.4   |
| b08006 |   010    |  False  |       2       |   11.8  |
| b08006 |   010    |   True  |       15      |   88.2  |
| b08006 |   020    |  False  |       10      |   14.7  |
| b08006 |   020    |   True  |       58      |   85.3  |
| b08006 |   030    |  False  |       26      |   17.0  |
| b08006 |   030    |   True  |      127      |   83.0  |
| b08006 |   040    |  False  |      312      |   35.3  |
| b08006 |   040    |   True  |      572      |   64.7  |
| b08006 |   050    |  False  |     43346     |   79.2  |
| b08006 |   050    |   True  |     11394     |   20.8  |
| b08006 |   060    |  False  |     569806    |   91.7  |
| b08006 |   060    |   True  |     51442     |   8.3   |
| b08006 |   140    |  False  |    1110224    |   88.7  |
| b08006 |   140    |   True  |     141690    |   11.3  |
| b08006 |   160    |  False  |     460805    |   91.9  |
| b08006 |   160    |   True  |     40865     |   8.1   |
| b08006 |   170    |  False  |       93      |   68.4  |
| b08006 |   170    |   True  |       43      |   31.6  |
| b08006 |   250    |  False  |     10955     |   93.0  |
| b08006 |   250    |   True  |      826      |   7.0   |
| b08006 |   251    |  False  |      7636     |   93.6  |
| b08006 |   251    |   True  |      524      |   6.4   |
| b08006 |   256    |  False  |      7488     |   91.6  |
| b08006 |   256    |   True  |      689      |   8.4   |
| b08006 |   310    |  False  |      9816     |   72.5  |
| b08006 |   310    |   True  |      3716     |   27.5  |
| b08006 |   400    |  False  |     52325     |   85.7  |
| b08006 |   400    |   True  |      8739     |   14.3  |
| b08006 |   500    |  False  |      3137     |   50.1  |
| b08006 |   500    |   True  |      3119     |   49.9  |
| b08006 |   795    |  False  |     26174     |   64.7  |
| b08006 |   795    |   True  |     14252     |   35.3  |
| b08006 |   860    |  False  |     501473    |   89.1  |
| b08006 |   860    |   True  |     61567     |   10.9  |
| b11001 |   010    |   True  |       9       |  100.0  |
| b11001 |   020    |  False  |       4       |   11.1  |
| b11001 |   020    |   True  |       32      |   88.9  |
| b11001 |   030    |  False  |       6       |   7.4   |
| b11001 |   030    |   True  |       75      |   92.6  |
| b11001 |   040    |  False  |      108      |   23.1  |
| b11001 |   040    |   True  |      360      |   76.9  |
| b11001 |   050    |  False  |     21088     |   72.8  |
| b11001 |   050    |   True  |      7892     |   27.2  |
| b11001 |   060    |  False  |     284321    |   86.4  |
| b11001 |   060    |   True  |     44575     |   13.6  |
| b11001 |   140    |  False  |     551339    |   83.2  |
| b11001 |   140    |   True  |     111439    |   16.8  |
| b11001 |   150    |  False  |    1723237    |   87.0  |
| b11001 |   150    |   True  |     256529    |   13.0  |
| b11001 |   160    |  False  |     231416    |   87.1  |
| b11001 |   160    |   True  |     34174     |   12.9  |
| b11001 |   170    |  False  |       41      |   56.9  |
| b11001 |   170    |   True  |       31      |   43.1  |
| b11001 |   250    |  False  |      5529     |   88.6  |
| b11001 |   250    |   True  |      708      |   11.4  |
| b11001 |   251    |  False  |      3743     |   86.6  |
| b11001 |   251    |   True  |      577      |   13.4  |
| b11001 |   256    |  False  |      3714     |   85.8  |
| b11001 |   256    |   True  |      615      |   14.2  |
| b11001 |   258    |  False  |      7042     |   85.5  |
| b11001 |   258    |   True  |      1193     |   14.5  |
| b11001 |   310    |  False  |      4676     |   65.3  |
| b11001 |   310    |   True  |      2488     |   34.7  |
| b11001 |   400    |  False  |     25931     |   80.2  |
| b11001 |   400    |   True  |      6397     |   19.8  |
| b11001 |   500    |  False  |      1291     |   39.0  |
| b11001 |   500    |   True  |      2021     |   61.0  |
| b11001 |   795    |  False  |     12763     |   59.6  |
| b11001 |   795    |   True  |      8639     |   40.4  |
| b11001 |   860    |  False  |     251020    |   84.2  |
| b11001 |   860    |   True  |     47060     |   15.8  |
| b13002 |   010    |  False  |       3       |   15.8  |
| b13002 |   010    |   True  |       16      |   84.2  |
| b13002 |   020    |  False  |       9       |   11.8  |
| b13002 |   020    |   True  |       67      |   88.2  |
| b13002 |   030    |  False  |       31      |   18.1  |
| b13002 |   030    |   True  |      140      |   81.9  |
| b13002 |   040    |  False  |      382      |   38.7  |
| b13002 |   040    |   True  |      606      |   61.3  |
| b13002 |   050    |  False  |     45816     |   74.9  |
| b13002 |   050    |   True  |     14889     |   24.3  |
| b13002 |   050    |   nan   |      475      |   0.8   |
| b13002 |   060    |  False  |     631896    |   91.0  |
| b13002 |   060    |   True  |     59020     |   8.5   |
| b13002 |   060    |   nan   |      3420     |   0.5   |
| b13002 |   140    |  False  |    1229765    |   87.9  |
| b13002 |   140    |   True  |     138102    |   9.9   |
| b13002 |   140    |   nan   |     31331     |   2.2   |
| b13002 |   160    |  False  |     512833    |   91.5  |
| b13002 |   160    |   True  |     42138     |   7.5   |
| b13002 |   160    |   nan   |      5719     |   1.0   |
| b13002 |   170    |  False  |      107      |   70.4  |
| b13002 |   170    |   True  |       45      |   29.6  |
| b13002 |   250    |  False  |     12199     |   92.6  |
| b13002 |   250    |   True  |      949      |   7.2   |
| b13002 |   250    |   nan   |       19      |   0.1   |
| b13002 |   251    |  False  |      8465     |   92.8  |
| b13002 |   251    |   True  |      655      |   7.2   |
| b13002 |   256    |  False  |      8366     |   91.5  |
| b13002 |   256    |   True  |      754      |   8.3   |
| b13002 |   256    |   nan   |       19      |   0.2   |
| b13002 |   310    |  False  |     10527     |   69.6  |
| b13002 |   310    |   True  |      4464     |   29.5  |
| b13002 |   310    |   nan   |      133      |   0.9   |
| b13002 |   400    |  False  |     57837     |   84.7  |
| b13002 |   400    |   True  |      9423     |   13.8  |
| b13002 |   400    |   nan   |      988      |   1.4   |
| b13002 |   500    |  False  |      3670     |   52.5  |
| b13002 |   500    |   True  |      2885     |   41.3  |
| b13002 |   500    |   nan   |      437      |   6.2   |
| b13002 |   795    |  False  |     31442     |   69.6  |
| b13002 |   795    |   True  |     12353     |   27.3  |
| b13002 |   795    |   nan   |      1387     |   3.1   |
| b13002 |   860    |  False  |     560655    |   89.1  |
| b13002 |   860    |   True  |     60246     |   9.6   |
| b13002 |   860    |   nan   |      8379     |   1.3   |
| b14001 |   010    |  False  |       1       |   10.0  |
| b14001 |   010    |   True  |       9       |   90.0  |
| b14001 |   020    |  False  |       4       |   10.0  |
| b14001 |   020    |   True  |       36      |   90.0  |
| b14001 |   030    |  False  |       10      |   11.1  |
| b14001 |   030    |   True  |       80      |   88.9  |
| b14001 |   040    |  False  |      136      |   26.2  |
| b14001 |   040    |   True  |      384      |   73.8  |
| b14001 |   050    |  False  |     20129     |   62.5  |
| b14001 |   050    |   True  |     12071     |   37.5  |
| b14001 |   060    |  False  |     311036    |   85.1  |
| b14001 |   060    |   True  |     54404     |   14.9  |
| b14001 |   140    |  False  |     609302    |   82.7  |
| b14001 |   140    |   True  |     127118    |   17.3  |
| b14001 |   160    |  False  |     254607    |   86.3  |
| b14001 |   160    |   True  |     40493     |   13.7  |
| b14001 |   170    |  False  |       46      |   57.5  |
| b14001 |   170    |   True  |       34      |   42.5  |
| b14001 |   250    |  False  |      6096     |   88.0  |
| b14001 |   250    |   True  |      834      |   12.0  |
| b14001 |   251    |  False  |      4188     |   87.2  |
| b14001 |   251    |   True  |      612      |   12.8  |
| b14001 |   256    |  False  |      4150     |   86.3  |
| b14001 |   256    |   True  |      660      |   13.7  |
| b14001 |   310    |  False  |      4434     |   55.7  |
| b14001 |   310    |   True  |      3526     |   44.3  |
| b14001 |   400    |  False  |     27723     |   77.2  |
| b14001 |   400    |   True  |      8197     |   22.8  |
| b14001 |   500    |  False  |      1573     |   42.7  |
| b14001 |   500    |   True  |      2107     |   57.3  |
| b14001 |   795    |  False  |     13836     |   58.2  |
| b14001 |   795    |   True  |      9944     |   41.8  |
| b14001 |   860    |  False  |     277476    |   83.8  |
| b14001 |   860    |   True  |     53724     |   16.2  |
| b15002 |   010    |  False  |       2       |   5.7   |
| b15002 |   010    |   True  |       33      |   94.3  |
