Coefficient of Variation for Change: Percent Total by All Categories

+------------+--------+----------+-----------+-----------------+---------+
|  variable  | table  | sumlevel | change_cv | change_cv_count | percent |
| b01001_003 | b01001 |   030    |    high   |        8        |   88.9  |
| b01001_003 | b01001 |   040    |    low    |        5        |   10.6  |
| b01001_003 | b01001 |   040    |   medium  |        14       |   29.8  |
| b01001_003 | b01001 |   040    |    high   |        28       |   59.6  |
| b01001_003 | b01001 |   050    |    low    |       830       |   51.0  |
| b01001_003 | b01001 |   050    |   medium  |       440       |   27.0  |
| b01001_003 | b01001 |   050    |    high   |       357       |   21.9  |
| b01001_003 | b01001 |   060    |    low    |       4386      |   96.4  |
| b01001_003 | b01001 |   060    |   medium  |       139       |   3.1   |
| b01001_003 | b01001 |   060    |    high   |        24       |   0.5   |
| b01001_003 | b01001 |   140    |    low    |      11179      |   97.4  |
| b01001_003 | b01001 |   140    |   medium  |       298       |   2.6   |
| b01001_003 | b01001 |   140    |    high   |        6        |   0.1   |
| b01001_003 | b01001 |   150    |    low    |      24546      |   99.0  |
| b01001_003 | b01001 |   150    |   medium  |       235       |   0.9   |
| b01001_003 | b01001 |   150    |    high   |        11       |   0.0   |
| b01001_003 | b01001 |   160    |    low    |       3179      |   95.8  |
| b01001_003 | b01001 |   160    |   medium  |       122       |   3.7   |
| b01001_003 | b01001 |   160    |    high   |        17       |   0.5   |
| b01001_003 | b01001 |   170    |    low    |        3        |   60.0  |
| b01001_003 | b01001 |   170    |   medium  |        1        |   20.0  |
| b01001_003 | b01001 |   170    |    high   |        1        |   20.0  |
| b01001_003 | b01001 |   250    |    low    |        66       |   88.0  |
| b01001_003 | b01001 |   250    |   medium  |        9        |   12.0  |
| b01001_003 | b01001 |   251    |    low    |        54       |   98.2  |
| b01001_003 | b01001 |   251    |   medium  |        1        |   1.8   |
| b01001_003 | b01001 |   256    |    low    |        48       |   87.3  |
| b01001_003 | b01001 |   256    |   medium  |        7        |   12.7  |
| b01001_003 | b01001 |   258    |    low    |       108       |   92.3  |
| b01001_003 | b01001 |   258    |   medium  |        9        |   7.7   |
| b01001_003 | b01001 |   310    |    low    |       211       |   43.8  |
| b01001_003 | b01001 |   310    |   medium  |       158       |   32.8  |
| b01001_003 | b01001 |   310    |    high   |       113       |   23.4  |
| b01001_003 | b01001 |   400    |    low    |       669       |   86.9  |
| b01001_003 | b01001 |   400    |   medium  |        83       |   10.8  |
| b01001_003 | b01001 |   400    |    high   |        18       |   2.3   |
| b01001_003 | b01001 |   500    |    low    |       115       |   59.3  |
| b01001_003 | b01001 |   500    |   medium  |        61       |   31.4  |
| b01001_003 | b01001 |   500    |    high   |        18       |   9.3   |
| b01001_003 | b01001 |   795    |    low    |       577       |   68.4  |
| b01001_003 | b01001 |   795    |   medium  |       190       |   22.5  |
| b01001_003 | b01001 |   795    |    high   |        77       |   9.1   |
| b01001_003 | b01001 |   860    |    low    |       4353      |   95.9  |
| b01001_003 | b01001 |   860    |   medium  |       145       |   3.2   |
| b01001_003 | b01001 |   860    |    high   |        39       |   0.9   |
| b01001_004 | b01001 |   010    |    high   |        1        |  100.0  |
| b01001_004 | b01001 |   020    |    low    |        1        |   33.3  |
| b01001_004 | b01001 |   020    |    high   |        2        |   66.7  |
