Statistically Significant Difference: Percent Total by All Categories

+------------+--------+----------+---------+---------------+---------+
|  variable  | table  | sumlevel | sig_dif | sig_dif_count | percent |
| b01001_003 | b01001 |   400    |  False  |      2822     |   78.6  |
| b01001_003 | b01001 |   400    |   True  |      770      |   21.4  |
| b01001_003 | b01001 |   500    |  False  |      174      |   47.3  |
| b01001_003 | b01001 |   500    |   True  |      194      |   52.7  |
| b01001_003 | b01001 |   795    |  False  |      1534     |   64.5  |
| b01001_003 | b01001 |   795    |   True  |      844      |   35.5  |
| b01001_003 | b01001 |   860    |  False  |     28583     |   86.3  |
| b01001_003 | b01001 |   860    |   True  |      4537     |   13.7  |
| b01001_004 | b01001 |   010    |   True  |       1       |  100.0  |
| b01001_004 | b01001 |   020    |  False  |       1       |   25.0  |
| b01001_004 | b01001 |   020    |   True  |       3       |   75.0  |
| b01001_004 | b01001 |   030    |  False  |       3       |   33.3  |
| b01001_004 | b01001 |   030    |   True  |       6       |   66.7  |
| b01001_004 | b01001 |   040    |  False  |       20      |   38.5  |
| b01001_004 | b01001 |   040    |   True  |       32      |   61.5  |
| b01001_004 | b01001 |   050    |  False  |      2487     |   77.2  |
| b01001_004 | b01001 |   050    |   True  |      733      |   22.8  |
| b01001_004 | b01001 |   060    |  False  |     32050     |   87.7  |
| b01001_004 | b01001 |   060    |   True  |      4494     |   12.3  |
| b01001_004 | b01001 |   140    |  False  |     62392     |   84.7  |
| b01001_004 | b01001 |   140    |   True  |     11250     |   15.3  |
| b01001_004 | b01001 |   150    |  False  |     194584    |   88.5  |
| b01001_004 | b01001 |   150    |   True  |     25390     |   11.5  |
| b01001_004 | b01001 |   160    |  False  |     26353     |   89.3  |
| b01001_004 | b01001 |   160    |   True  |      3157     |   10.7  |
| b01001_004 | b01001 |   170    |  False  |       7       |   87.5  |
| b01001_004 | b01001 |   170    |   True  |       1       |   12.5  |
| b01001_004 | b01001 |   250    |  False  |      626      |   90.3  |
| b01001_004 | b01001 |   250    |   True  |       67      |   9.7   |
| b01001_004 | b01001 |   251    |  False  |      418      |   87.1  |
| b01001_004 | b01001 |   251    |   True  |       62      |   12.9  |
| b01001_004 | b01001 |   256    |  False  |      429      |   89.2  |
| b01001_004 | b01001 |   256    |   True  |       52      |   10.8  |
| b01001_004 | b01001 |   258    |  False  |      786      |   85.9  |
| b01001_004 | b01001 |   258    |   True  |      129      |   14.1  |
| b01001_004 | b01001 |   310    |  False  |      606      |   76.1  |
| b01001_004 | b01001 |   310    |   True  |      190      |   23.9  |
| b01001_004 | b01001 |   400    |  False  |      2993     |   83.3  |
| b01001_004 | b01001 |   400    |   True  |      599      |   16.7  |
| b01001_004 | b01001 |   500    |  False  |      226      |   61.4  |
| b01001_004 | b01001 |   500    |   True  |      142      |   38.6  |
| b01001_004 | b01001 |   795    |  False  |      1808     |   76.0  |
| b01001_004 | b01001 |   795    |   True  |      570      |   24.0  |
| b01001_004 | b01001 |   860    |  False  |     28833     |   87.1  |
| b01001_004 | b01001 |   860    |   True  |      4287     |   12.9  |
| b01001_005 | b01001 |   010    |   True  |       1       |  100.0  |
| b01001_005 | b01001 |   020    |   True  |       4       |  100.0  |
| b01001_005 | b01001 |   030    |   True  |       9       |  100.0  |
| b01001_005 | b01001 |   040    |  False  |       18      |   34.6  |
| b01001_005 | b01001 |   040    |   True  |       34      |   65.4  |
| b01001_005 | b01001 |   050    |  False  |      2433     |   75.6  |
| b01001_005 | b01001 |   050    |   True  |      787      |   24.4  |
| b01001_005 | b01001 |   060    |  False  |     31975     |   87.5  |
| b01001_005 | b01001 |   060    |   True  |      4569     |   12.5  |
| b01001_005 | b01001 |   140    |  False  |     62276     |   84.6  |
| b01001_005 | b01001 |   140    |   True  |     11366     |   15.4  |
| b01001_005 | b01001 |   150    |  False  |     194522    |   88.4  |
| b01001_005 | b01001 |   150    |   True  |     25452     |   11.6  |
| b01001_005 | b01001 |   160    |  False  |     26243     |   88.9  |
| b01001_005 | b01001 |   160    |   True  |      3267     |   11.1  |
| b01001_005 | b01001 |   170    |  False  |       5       |   62.5  |
| b01001_005 | b01001 |   170    |   True  |       3       |   37.5  |
| b01001_005 | b01001 |   250    |  False  |      620      |   89.5  |
| b01001_005 | b01001 |   250    |   True  |       73      |   10.5  |
| b01001_005 | b01001 |   251    |  False  |      416      |   86.7  |
| b01001_005 | b01001 |   251    |   True  |       64      |   13.3  |
| b01001_005 | b01001 |   256    |  False  |      423      |   87.9  |
| b01001_005 | b01001 |   256    |   True  |       58      |   12.1  |
| b01001_005 | b01001 |   258    |  False  |      783      |   85.6  |
| b01001_005 | b01001 |   258    |   True  |      132      |   14.4  |
| b01001_005 | b01001 |   310    |  False  |      554      |   69.6  |
| b01001_005 | b01001 |   310    |   True  |      242      |   30.4  |
| b01001_005 | b01001 |   400    |  False  |      2935     |   81.7  |
| b01001_005 | b01001 |   400    |   True  |      657      |   18.3  |
| b01001_005 | b01001 |   500    |  False  |      220      |   59.8  |
| b01001_005 | b01001 |   500    |   True  |      148      |   40.2  |
| b01001_005 | b01001 |   795    |  False  |      1808     |   76.0  |
| b01001_005 | b01001 |   795    |   True  |      570      |   24.0  |
| b01001_005 | b01001 |   860    |  False  |     28729     |   86.7  |
| b01001_005 | b01001 |   860    |   True  |      4391     |   13.3  |
| b01001_006 | b01001 |   010    |   True  |       1       |  100.0  |
| b01001_006 | b01001 |   020    |   True  |       4       |  100.0  |
| b01001_006 | b01001 |   030    |  False  |       1       |   11.1  |
| b01001_006 | b01001 |   030    |   True  |       8       |   88.9  |
| b01001_006 | b01001 |   040    |  False  |       15      |   28.8  |
| b01001_006 | b01001 |   040    |   True  |       37      |   71.2  |
| b01001_006 | b01001 |   050    |  False  |      1822     |   56.6  |
| b01001_006 | b01001 |   050    |   True  |      1398     |   43.4  |
| b01001_006 | b01001 |   060    |  False  |     32308     |   88.4  |
| b01001_006 | b01001 |   060    |   True  |      4236     |   11.6  |
| b01001_006 | b01001 |   140    |  False  |     62949     |   85.5  |
| b01001_006 | b01001 |   140    |   True  |     10693     |   14.5  |
| b01001_006 | b01001 |   150    |  False  |     199780    |   90.8  |
| b01001_006 | b01001 |   150    |   True  |     20194     |   9.2   |
| b01001_006 | b01001 |   160    |  False  |     26613     |   90.2  |
| b01001_006 | b01001 |   160    |   True  |      2897     |   9.8   |
| b01001_006 | b01001 |   170    |  False  |       3       |   37.5  |
| b01001_006 | b01001 |   170    |   True  |       5       |   62.5  |
| b01001_006 | b01001 |   250    |  False  |      616      |   88.9  |
| b01001_006 | b01001 |   250    |   True  |       77      |   11.1  |
| b01001_006 | b01001 |   251    |  False  |      426      |   88.8  |
| b01001_006 | b01001 |   251    |   True  |       54      |   11.2  |
| b01001_006 | b01001 |   256    |  False  |      419      |   87.1  |
| b01001_006 | b01001 |   256    |   True  |       62      |   12.9  |
| b01001_006 | b01001 |   258    |  False  |      800      |   87.4  |
| b01001_006 | b01001 |   258    |   True  |      115      |   12.6  |
| b01001_006 | b01001 |   310    |  False  |      392      |   49.2  |
| b01001_006 | b01001 |   310    |   True  |      404      |   50.8  |
| b01001_006 | b01001 |   400    |  False  |      2909     |   81.0  |
| b01001_006 | b01001 |   400    |   True  |      683      |   19.0  |
| b01001_006 | b01001 |   500    |  False  |      173      |   47.0  |
| b01001_006 | b01001 |   500    |   True  |      195      |   53.0  |
| b01001_006 | b01001 |   795    |  False  |      1594     |   67.0  |
