"table"	"variable"	"sumlevel"	"sig_dif"	"sig_dif_count"
"b01001"	"b01001_005"	"020"	True	4
"b01001"	"b01001_005"	"030"	True	9
"b01001"	"b01001_005"	"040"	False	18
"b01001"	"b01001_005"	"040"	True	34
"b01001"	"b01001_005"	"050"	False	2433
"b01001"	"b01001_005"	"050"	True	787
"b01001"	"b01001_005"	"060"	False	31975
"b01001"	"b01001_005"	"060"	True	4569
"b01001"	"b01001_005"	"140"	False	62276
"b01001"	"b01001_005"	"140"	True	11366
"b01001"	"b01001_005"	"150"	False	194522
"b01001"	"b01001_005"	"150"	True	25452
"b01001"	"b01001_005"	"160"	False	26243
"b01001"	"b01001_005"	"160"	True	3267
"b01001"	"b01001_005"	"170"	False	5
"b01001"	"b01001_005"	"170"	True	3
"b01001"	"b01001_005"	"250"	False	620
"b01001"	"b01001_005"	"250"	True	73
"b01001"	"b01001_005"	"251"	False	416
"b01001"	"b01001_005"	"251"	True	64
"b01001"	"b01001_005"	"256"	False	423
"b01001"	"b01001_005"	"256"	True	58
"b01001"	"b01001_005"	"258"	False	783
"b01001"	"b01001_005"	"258"	True	132
"b01001"	"b01001_005"	"310"	False	554
"b01001"	"b01001_005"	"310"	True	242
"b01001"	"b01001_005"	"400"	False	2935
"b01001"	"b01001_005"	"400"	True	657
"b01001"	"b01001_005"	"500"	False	220
"b01001"	"b01001_005"	"500"	True	148
"b01001"	"b01001_005"	"795"	False	1808
"b01001"	"b01001_005"	"795"	True	570
"b01001"	"b01001_005"	"860"	False	28729
"b01001"	"b01001_005"	"860"	True	4391
"b01001"	"b01001_006"	"010"	True	1
"b01001"	"b01001_006"	"020"	True	4
"b01001"	"b01001_006"	"030"	False	1
"b01001"	"b01001_006"	"030"	True	8
"b01001"	"b01001_006"	"040"	False	15
"b01001"	"b01001_006"	"040"	True	37
"b01001"	"b01001_006"	"050"	False	1822
"b01001"	"b01001_006"	"050"	True	1398
"b01001"	"b01001_006"	"060"	False	32308
"b01001"	"b01001_006"	"060"	True	4236
"b01001"	"b01001_006"	"140"	False	62949
"b01001"	"b01001_006"	"140"	True	10693
"b01001"	"b01001_006"	"150"	False	199780
