"variable"	"sig_dif"	"sig_dif_count"	"percent"
"b01001_001"	False	312171	76.9
"b01001_001"	True	93616	23.1
"b01001_002"	False	329031	81.1
"b01001_002"	True	76756	18.9
"b01001_003"	False	352823	86.9
"b01001_003"	True	52964	13.1
"b01001_004"	False	354622	87.4
"b01001_004"	True	51165	12.6
"b01001_005"	False	353960	87.2
"b01001_005"	True	51827	12.8
"b01001_006"	False	359840	88.7
"b01001_006"	True	45947	11.3
"b01001_007"	False	371043	91.4
"b01001_007"	True	34744	8.6
"b01001_008"	False	387047	95.4
"b01001_008"	True	18740	4.6
"b01001_009"	False	387708	95.5
"b01001_009"	True	18079	4.5
"b01001_010"	False	366117	90.2
"b01001_010"	True	39670	9.8
"b01001_011"	False	354023	87.2
"b01001_011"	True	51764	12.8
"b01001_012"	False	352495	86.9
"b01001_012"	True	53292	13.1
"b01001_013"	False	353587	87.1
"b01001_013"	True	52200	12.9
"b01001_014"	False	352374	86.8
"b01001_014"	True	53413	13.2
"b01001_015"	False	348427	85.9
"b01001_015"	True	57360	14.1
"b01001_016"	False	347050	85.5
"b01001_016"	True	58736	14.5
"b01001_016"	nan	1	0.0
"b01001_017"	False	352954	87.0
"b01001_017"	True	52833	13.0
"b01001_018"	False	369609	91.1
"b01001_018"	True	36178	8.9
"b01001_019"	False	362458	89.3
"b01001_019"	True	43329	10.7
"b01001_020"	False	371207	91.5
"b01001_020"	True	34580	8.5
"b01001_021"	False	359610	88.6
"b01001_021"	True	46177	11.4
"b01001_022"	False	353815	87.2
"b01001_022"	True	51972	12.8
"b01001_023"	False	366247	90.3
"b01001_023"	True	39540	9.7
"b01001_024"	False	378666	93.3
"b01001_024"	True	27121	6.7
"b01001_025"	False	384796	94.8
"b01001_025"	True	20991	5.2
"b01001_026"	False	328446	80.9
"b01001_026"	True	77341	19.1
"b01001_027"	False	354167	87.3
"b01001_027"	True	51620	12.7
"b01001_028"	False	354177	87.3
"b01001_028"	True	51610	12.7
"b01001_029"	False	354345	87.3
"b01001_029"	True	51442	12.7
"b01001_030"	False	360491	88.8
"b01001_030"	True	45294	11.2
"b01001_030"	nan	2	0.0
"b01001_031"	False	373730	92.1
"b01001_031"	True	32057	7.9
"b01001_032"	False	388312	95.7
"b01001_032"	True	17475	4.3
"b01001_033"	False	388456	95.7
"b01001_033"	True	17331	4.3
"b01001_034"	False	365657	90.1
"b01001_034"	True	40130	9.9
"b01001_035"	False	352748	86.9
"b01001_035"	True	53039	13.1
"b01001_036"	False	350977	86.5
"b01001_036"	True	54810	13.5
"b01001_037"	False	351984	86.7
"b01001_037"	True	53803	13.3
"b01001_038"	False	350606	86.4
"b01001_038"	True	55181	13.6
"b01001_039"	False	347054	85.5
"b01001_039"	True	58733	14.5
"b01001_040"	False	345225	85.1
"b01001_040"	True	60562	14.9
"b01001_041"	False	352538	86.9
"b01001_041"	True	53249	13.1
"b01001_042"	False	367867	90.7
"b01001_042"	True	37920	9.3
"b01001_043"	False	359600	88.6
"b01001_043"	True	46187	11.4
"b01001_044"	False	368675	90.9
"b01001_044"	True	37112	9.1
"b01001_045"	False	357191	88.0
"b01001_045"	True	48596	12.0
"b01001_046"	False	351094	86.5
"b01001_046"	True	54693	13.5
"b01001_047"	False	363358	89.5
"b01001_047"	True	42429	10.5
"b01001_048"	False	374107	92.2
"b01001_048"	True	31680	7.8
"b01001_049"	False	378722	93.3
"b01001_049"	True	27065	6.7
"b01002_001"	False	333799	82.3
"b01002_001"	True	67892	16.7
"b01002_001"	nan	4096	1.0
"b01002_002"	False	341531	84.2
"b01002_002"	True	58515	14.4
"b01002_002"	nan	5741	1.4
"b01002_003"	False	339117	83.6
"b01002_003"	True	60490	14.9
"b01002_003"	nan	6180	1.5
