"table"	"sumlevel"	"sig_dif"	"sig_dif_count"	"percent"
"b25002"	"251"	True	271	18.8
"b19083"	"251"	True	82	17.1
"b23025"	"251"	True	562	16.7
"b25003"	"251"	True	232	16.1
"b25010"	"251"	True	222	15.4
"b01002"	"251"	True	209	14.5
"b11001"	"251"	True	577	13.4
"c17002"	"251"	True	502	13.1
"b14001"	"251"	True	612	12.8
"b19013"	"251"	True	53	11.0
"b25064"	"251"	True	49	10.2
"b02001"	"251"	True	473	9.9
"b01001"	"251"	True	2288	9.7
"b19001"	"251"	True	694	8.5
"b05002"	"251"	True	571	7.9
"b13002"	"251"	True	655	7.2
"b15002"	"251"	True	1204	7.2
"b03002"	"251"	True	680	6.7
"b07204"	"251"	True	593	6.5
"b08006"	"251"	True	524	6.4
"c24030"	"251"	True	809	5.8
"b25070"	"251"	True	286	5.4
"b25063"	"251"	True	444	3.9
"b26001"	"251"	True	6	1.2
"b25077"	"250"	True	149	21.5
"b25002"	"250"	True	401	19.3
"b23025"	"250"	True	787	16.2
"b25003"	"250"	True	325	15.6
"b19083"	"250"	True	107	15.4
"b19013"	"250"	True	97	14.0
"c17002"	"250"	True	763	13.8
"b01002"	"250"	True	282	13.6
"b25064"	"250"	True	88	12.7
"b14001"	"250"	True	834	12.0
"b11001"	"250"	True	708	11.4
"b02001"	"250"	True	771	11.1
"b25010"	"250"	True	212	10.2
"b01001"	"250"	True	3316	9.8
"b19001"	"250"	True	1104	9.4
"b05002"	"250"	True	899	8.6
"b03002"	"250"	True	1174	8.1
"b13002"	"250"	True	949	7.2
"b15002"	"250"	True	1726	7.1
"b08006"	"250"	True	826	7.0
"b07204"	"250"	True	903	6.9
"c24030"	"250"	True	1259	6.3
"b25070"	"250"	True	463	6.1
"b25063"	"250"	True	817	4.9
"b26001"	"250"	True	14	2.0
"b25002"	"170"	True	17	70.8
"b23025"	"170"	True	37	66.1
"b25003"	"170"	True	15	62.5
"b25077"	"170"	True	5	62.5
"b01002"	"170"	True	14	58.3
"b19013"	"170"	True	4	50.0
"b19083"	"170"	True	4	50.0
"b25010"	"170"	True	12	50.0
"b25064"	"170"	True	4	50.0
"b01001"	"170"	True	192	49.0
"b19001"	"170"	True	64	47.1
"b25070"	"170"	True	40	45.5
"c17002"	"170"	True	28	43.8
"b11001"	"170"	True	31	43.1
"b14001"	"170"	True	34	42.5
"b25063"	"170"	True	80	41.7
"b02001"	"170"	True	32	40.0
"c24030"	"170"	True	89	38.4
"b05002"	"170"	True	43	35.8
"b03002"	"170"	True	60	35.7
"b15002"	"170"	True	100	35.7
"b08006"	"170"	True	43	31.6
"b13002"	"170"	True	45	29.6
"b07204"	"170"	True	40	26.3
"b26001"	"170"	True	1	12.5
"b25077"	"160"	True	7510	25.4
"b23025"	"160"	True	36883	17.9
"b25002"	"160"	True	15109	17.1
"b25003"	"160"	True	14516	16.4
"b19013"	"160"	True	4720	16.0
"b19083"	"160"	True	4473	15.2
"b25064"	"160"	True	4386	14.9
"b01002"	"160"	True	12794	14.5
"c17002"	"160"	True	33139	14.0
"b25010"	"160"	True	12227	13.8
"b14001"	"160"	True	40493	13.7
"b11001"	"160"	True	34174	12.9
"b05002"	"160"	True	50798	11.5
"b19001"	"160"	True	57381	11.4
"b02001"	"160"	True	31398	10.6
"b01001"	"160"	True	151747	10.5
"b08006"	"160"	True	40865	8.1
"c24030"	"160"	True	69450	8.1
"b07204"	"160"	True	44090	7.9
"b03002"	"160"	True	47902	7.7
"b15002"	"160"	True	79420	7.7
"b13002"	"160"	True	42138	7.5
"b25070"	"160"	True	23140	7.1
"b25063"	"160"	True	41461	5.9
"b26001"	"160"	True	673	2.3
"b25077"	"150"	True	59675	27.1
"b25010"	"150"	True	105636	16.0
"b25003"	"150"	True	102751	15.6
"b25002"	"150"	True	98409	14.9
"b25064"	"150"	True	31773	14.4
"b23025"	"150"	True	220403	14.3
"b01002"	"150"	True	88894	13.5
"b11001"	"150"	True	256529	13.0
"b19013"	"150"	True	28212	12.8
"c17002"	"150"	True	191086	10.9
"b19001"	"150"	True	365713	9.8
"b01001"	"150"	True	989085	9.2
"b02001"	"150"	True	158063	7.2
"c24030"	"150"	True	443267	6.9
"b15002"	"150"	True	481592	6.3
"b25070"	"150"	True	137846	5.7
"b03002"	"150"	True	241079	5.2
"b25063"	"150"	True	205427	3.9
"b25077"	"140"	True	29596	40.2
"b25002"	"140"	True	52415	23.7
"b25064"	"140"	True	16388	22.3
"b25003"	"140"	True	46000	20.8
"b23025"	"140"	True	106275	20.6
"b19013"	"140"	True	13566	18.4
"b14001"	"140"	True	127118	17.3
"b11001"	"140"	True	111439	16.8
"c17002"	"140"	True	98374	16.7
"b19083"	"140"	True	11825	16.1
"b25010"	"140"	True	35577	16.1
"b01002"	"140"	True	35038	15.9
"b19001"	"140"	True	197907	15.8
"b01001"	"140"	True	513278	14.2
"b05002"	"140"	True	155809	14.1
"b02001"	"140"	True	95522	13.0
"c24030"	"140"	True	250255	11.7
"b08006"	"140"	True	141690	11.3
"b25070"	"140"	True	90808	11.2
"b15002"	"140"	True	268556	10.4
"b13002"	"140"	True	138102	9.9
"b07204"	"140"	True	132268	9.5
"b03002"	"140"	True	144460	9.3
"b25063"	"140"	True	144917	8.2
"b26001"	"140"	True	1743	2.4
"b25077"	"060"	True	8725	23.9
"b23025"	"060"	True	48017	18.8
"b19083"	"060"	True	6419	17.6
"b25002"	"060"	True	19339	17.6
"b25003"	"060"	True	18717	17.1
"b19013"	"060"	True	6010	16.4
"b01002"	"060"	True	17805	16.2
"c17002"	"060"	True	44372	15.2
"b25010"	"060"	True	16511	15.1
"b14001"	"060"	True	54404	14.9
"b11001"	"060"	True	44575	13.6
"b25064"	"060"	True	4864	13.3
"b19001"	"060"	True	80103	12.9
"b01001"	"060"	True	216211	12.1
"b05002"	"060"	True	64229	11.7
"b02001"	"060"	True	39423	10.8
"c24030"	"060"	True	96090	9.1
"b15002"	"060"	True	109971	8.6
"b13002"	"060"	True	59020	8.5
"b08006"	"060"	True	51442	8.3
"b07204"	"060"	True	54518	7.9
"b03002"	"060"	True	59990	7.8
"b25070"	"060"	True	28350	7.1
"b25063"	"060"	True	47796	5.4
"b26001"	"060"	True	897	2.5
"b01002"	"050"	True	5189	53.7
"b25077"	"050"	True	1565	48.6
"b23025"	"050"	True	10703	47.5
"b25002"	"050"	True	4556	47.2
"b19013"	"050"	True	1294	40.2
"b02001"	"050"	True	12748	39.6
"b14001"	"050"	True	12071	37.5
"b01001"	"050"	True	57811	36.6
"b25003"	"050"	True	3325	34.4
"b03002"	"050"	True	22379	33.1
"c17002"	"050"	True	8294	32.2
"b05002"	"050"	True	15112	31.3
"b19001"	"050"	True	16671	30.5
"b25064"	"050"	True	933	29.0
"b25010"	"050"	True	2731	28.3
"b11001"	"050"	True	7892	27.2
"b15002"	"050"	True	28631	25.4
"b13002"	"050"	True	14889	24.3
"b07204"	"050"	True	13318	21.8
"b19083"	"050"	True	687	21.3
"b08006"	"050"	True	11394	20.8
"b25063"	"050"	True	15967	20.7
"c24030"	"050"	True	19311	20.7
"b25070"	"050"	True	6863	19.4
"b26001"	"050"	True	249	7.7
"b26001"	"040"	True	52	100.0
"b19013"	"040"	True	49	94.2
"b01002"	"040"	True	144	92.3
"b25002"	"040"	True	144	92.3
"b25064"	"040"	True	47	90.4
"b25077"	"040"	True	47	90.4
"b25003"	"040"	True	139	89.1
"b23025"	"040"	True	320	87.9
"b19001"	"040"	True	750	84.8
"b01001"	"040"	True	2081	81.7
"b02001"	"040"	True	421	81.0
"b19083"	"040"	True	41	78.8
"c17002"	"040"	True	328	78.8
"b11001"	"040"	True	360	76.9
"b25063"	"040"	True	944	75.6
"b15002"	"040"	True	1370	75.3
"b05002"	"040"	True	585	75.0
"b14001"	"040"	True	384	73.8
"b03002"	"040"	True	767	70.2
"b08006"	"040"	True	572	64.7
"c24030"	"040"	True	956	63.4
"b25070"	"040"	True	354	61.9
"b13002"	"040"	True	606	61.3
"b07204"	"040"	True	515	52.1
"b25010"	"040"	True	70	44.9
"b01002"	"030"	True	27	100.0
"b19013"	"030"	True	9	100.0
"b19083"	"030"	True	9	100.0
"b25002"	"030"	True	27	100.0
"b25003"	"030"	True	27	100.0
"b25064"	"030"	True	9	100.0
"b26001"	"030"	True	9	100.0
"b23025"	"030"	True	60	95.2
"b19001"	"030"	True	145	94.8
"b02001"	"030"	True	85	94.4
"b01001"	"030"	True	411	93.2
"b11001"	"030"	True	75	92.6
"b15002"	"030"	True	290	92.1
"b25063"	"030"	True	198	91.7
"c17002"	"030"	True	66	91.7
"b03002"	"030"	True	170	89.9
"b05002"	"030"	True	120	88.9
"b14001"	"030"	True	80	88.9
"b25077"	"030"	True	8	88.9
"c24030"	"030"	True	222	85.1
"b25070"	"030"	True	84	84.8
"b08006"	"030"	True	127	83.0
"b13002"	"030"	True	140	81.9
"b07204"	"030"	True	128	74.9
"b25010"	"030"	True	11	40.7
"b01002"	"020"	True	12	100.0
"b19013"	"020"	True	4	100.0
"b19083"	"020"	True	4	100.0
"b23025"	"020"	True	28	100.0
"b25003"	"020"	True	12	100.0
"b25064"	"020"	True	4	100.0
"b26001"	"020"	True	4	100.0
"b02001"	"020"	True	39	97.5
"b19001"	"020"	True	66	97.1
"b25063"	"020"	True	93	96.9
"c17002"	"020"	True	31	96.9
"b01001"	"020"	True	188	95.9
"b15002"	"020"	True	134	95.7
"b03002"	"020"	True	79	94.0
"b05002"	"020"	True	55	91.7
"b14001"	"020"	True	36	90.0
"c24030"	"020"	True	104	89.7
"b11001"	"020"	True	32	88.9
"b25070"	"020"	True	39	88.6
"b13002"	"020"	True	67	88.2
"b08006"	"020"	True	58	85.3
"b25002"	"020"	True	10	83.3
"b07204"	"020"	True	62	81.6
"b25077"	"020"	True	3	75.0
"b25010"	"020"	True	6	50.0
"b01002"	"010"	True	3	100.0
"b02001"	"010"	True	10	100.0
"b03002"	"010"	True	21	100.0
"b11001"	"010"	True	9	100.0
"b19001"	"010"	True	17	100.0
"b19013"	"010"	True	1	100.0
"b19083"	"010"	True	1	100.0
"b23025"	"010"	True	7	100.0
"b25003"	"010"	True	3	100.0
"b25064"	"010"	True	1	100.0
"b25070"	"010"	True	11	100.0
"b25077"	"010"	True	1	100.0
"b26001"	"010"	True	1	100.0
"c17002"	"010"	True	8	100.0
"c24030"	"010"	True	28	96.6
"b01001"	"010"	True	47	95.9
"b07204"	"010"	True	18	94.7
"b15002"	"010"	True	33	94.3
"b05002"	"010"	True	14	93.3
"b25063"	"010"	True	22	91.7
"b14001"	"010"	True	9	90.0
"b08006"	"010"	True	15	88.2
"b13002"	"010"	True	16	84.2
"b25002"	"010"	True	2	66.7
